Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2016010000005,2,1,1,1,23,5,3,0,0,0,0,0,2,1,4
2016010000006,1,1,1,2,36,7,3,0,0,0,0,0,9,1,10
2016010000008,1,1,1,1,24,5,3,0,0,0,0,0,9,1,8
2016010000016,1,1,2,2,59,9,3,0,0,0,3,0,11,1,4
2016010000018,2,1,1,1,28,6,3,0,0,0,0,0,1,1,6
2016010000019,1,1,1,2,30,6,3,0,0,0,0,0,9,1,3
2016010000020,1,1,3,2,33,6,3,5,1,0,0,2,0,1,1
2016010000021,2,1,1,2,30,6,3,0,0,0,0,0,9,1,7
2016010000023,1,1,1,1,21,5,3,0,0,0,0,0,4,1,-1
2016010000024,1,1,2,2,7,2,3,0,0,0,4,0,11,-1,-1
2016010000025,3,1,1,1,36,7,3,0,0,0,0,0,3,1,2
2016010000028,1,1,3,1,53,8,3,8,3,0,0,2,0,1,6
2016010000031,1,1,1,1,29,6,3,0,0,0,0,0,9,1,2
2016010000033,1,1,3,1,11,3,2,5,3,0,0,2,0,1,-1
2016010000035,1,1,1,1,30,6,3,0,0,0,0,0,11,1,-1
2016010000035,2,2,1,1,62,9,3,0,0,0,0,0,19,1,-1
2016010000039,1,1,1,1,34,6,3,0,0,0,0,0,3,1,5
2016010000046,1,1,1,1,20,4,3,0,0,0,0,0,1,1,2
2016010000047,1,1,3,2,38,7,3,5,2,0,0,2,0,1,9
2016010000048,1,1,3,1,62,9,2,1,1,0,0,2,0,1,4
2016010000049,1,1,3,2,32,6,3,8,1,0,0,2,0,1,3
2016010000050,4,1,1,2,52,8,3,0,0,0,0,0,9,1,4
2016010000051,1,1,1,1,79,11,3,0,0,0,0,0,9,1,1
2016010000051,2,2,1,1,37,7,3,0,0,0,0,0,9,1,7
2016010000051,2,3,2,2,61,9,3,0,0,1,0,0,9,1,7
2016010000052,2,1,2,2,80,11,3,0,0,1,0,0,9,1,3
2016010000053,1,1,3,1,74,10,3,9,5,0,0,2,0,1,8
2016010000055,1,1,1,1,77,11,3,0,0,0,0,0,9,1,6
2016010000056,1,1,1,1,58,9,2,0,0,0,0,0,3,1,-1
2016010000058,1,1,1,1,23,5,3,0,0,0,0,0,1,1,2
2016010000060,1,1,3,1,22,5,3,1,1,0,0,2,0,1,2
2016010000061,1,1,3,2,2,1,3,9,9,0,0,2,0,1,4
2016010000064,1,1,2,2,53,8,3,0,0,1,0,0,9,-1,-1
2016010000066,1,1,3,1,58,9,3,5,3,0,0,2,0,1,6
2016010000067,1,1,2,2,24,5,3,0,0,1,0,0,9,1,7
2016010000069,2,1,1,1,29,6,3,0,0,0,0,0,1,1,5
2016010000072,2,1,1,1,24,5,3,0,0,0,0,0,1,1,6
2016010000073,2,1,1,1,31,6,3,0,0,0,0,0,1,-1,-1
2016010000074,1,1,1,1,51,8,3,0,0,0,0,0,5,1,5
2016010000076,1,1,1,1,58,9,3,0,0,0,0,0,9,1,-1
2016010000076,2,2,2,2,12,3,3,0,0,2,0,0,9,1,-1
2016010000077,2,1,1,1,30,6,3,0,0,0,0,0,19,1,1
2016010000079,2,1,1,2,28,6,3,0,0,0,0,0,2,1,3
2016010000081,1,1,1,1,32,6,3,0,0,0,0,0,9,1,5
2016010000081,2,2,1,2,38,7,3,0,0,0,0,0,9,1,6
2016010000082,2,1,1,1,83,11,3,0,0,0,0,0,9,1,4
2016010000082,2,2,2,2,75,10,3,0,0,1,0,0,9,1,4
2016010000084,1,1,2,2,89,11,3,0,0,0,3,0,11,-1,-1
2016010000085,2,1,1,1,21,5,3,0,0,0,0,0,1,1,5
2016010000086,1,1,1,1,40,7,3,0,0,0,0,0,5,1,5
2016010000087,1,1,1,1,46,8,3,0,0,0,0,0,4,3,10
2016010000090,1,1,3,1,24,5,3,5,1,0,0,2,0,1,5
2016010000092,2,1,2,1,33,6,3,0,0,1,0,0,9,1,2
2016010000094,1,1,1,1,24,5,3,0,0,0,0,0,9,1,4
2016010000094,1,2,2,1,23,5,3,0,0,2,0,0,9,1,3
2016010000094,1,3,2,1,37,7,3,0,0,1,0,0,9,1,3
2016010000094,2,4,2,1,40,7,3,0,0,2,0,0,9,1,5
2016010000095,1,1,1,2,62,9,3,0,0,0,0,0,9,-1,-1
2016010000095,1,2,2,2,3,1,3,0,0,2,0,0,9,-1,-1
2016010000095,2,3,1,1,56,9,3,0,0,0,0,0,9,1,9
2016010000096,1,1,1,2,52,8,3,0,0,0,0,0,9,2,6
2016010000096,2,2,1,2,37,7,3,0,0,0,0,0,9,1,3
2016010000099,1,1,3,2,24,5,3,1,1,0,0,2,0,1,3
2016010000100,1,1,3,1,11,3,2,5,1,0,0,2,0,1,3
2016010000101,2,1,1,1,34,6,3,0,0,0,0,0,8,1,1
2016010000103,1,1,1,1,36,7,3,0,0,0,0,0,3,1,2
2016010000108,2,1,1,1,28,6,3,0,0,0,0,0,4,1,2
2016010000109,1,1,1,1,18,4,3,0,0,0,0,0,9,1,1
2016010000110,1,1,1,1,39,7,3,0,0,0,0,0,9,1,-1
2016010000114,1,1,2,2,15,3,3,0,0,2,0,0,9,1,4
2016010000115,2,1,1,1,23,5,3,0,0,0,0,0,1,1,3
2016010000116,2,1,1,1,24,5,2,0,0,0,0,0,5,1,7
2016010000117,2,1,1,1,45,7,3,0,0,0,0,0,1,1,6
2016010000119,1,1,3,1,12,3,3,5,1,0,0,2,0,1,4
2016010000120,3,1,1,2,29,6,3,0,0,0,0,0,9,1,1
2016010000121,1,1,3,2,73,10,2,4,1,0,0,2,0,1,3
2016010000121,1,2,3,2,52,8,2,4,1,0,0,2,0,1,4
2016010000122,1,1,3,2,57,9,3,5,3,0,0,2,0,1,-1
2016010000124,1,1,3,2,37,7,3,5,1,0,0,2,0,1,-1
2016010000125,2,1,1,1,48,8,3,0,0,0,0,0,4,1,3
2016010000126,1,1,1,2,45,7,3,0,0,0,0,0,9,1,1
2016010000129,1,1,1,2,52,8,3,0,0,0,0,0,9,1,2
2016010000130,1,1,3,1,39,7,3,1,3,0,0,2,0,1,-1
2016010000132,1,1,1,1,21,5,2,0,0,0,0,0,4,1,2
2016010000134,1,1,1,2,32,6,3,0,0,0,0,0,11,1,6
2016010000134,2,2,1,1,36,7,3,0,0,0,0,0,19,1,6
2016010000135,1,1,1,1,30,6,3,0,0,0,0,0,19,1,6
2016010000138,2,1,1,2,50,8,3,0,0,0,0,0,9,1,6
2016010000140,1,1,2,2,81,11,2,0,0,0,3,0,11,1,5
2016010000141,2,1,1,1,20,4,3,0,0,0,0,0,4,1,2
2016010000143,1,1,1,1,21,5,3,0,0,0,0,0,4,1,3
2016010000146,1,1,2,2,64,9,3,0,0,0,3,0,11,1,1
2016010000147,1,1,1,1,22,5,3,0,0,0,0,0,3,1,3
2016010000153,2,1,1,2,21,5,3,0,0,0,0,0,1,1,-1
2016010000154,2,1,1,1,18,4,3,0,0,0,0,0,3,1,4
2016010000157,2,1,1,1,62,9,2,0,0,0,0,0,5,1,4
2016010000159,2,1,1,1,33,6,3,0,0,0,0,0,1,1,6
2016010000161,2,1,1,2,48,8,3,0,0,0,0,0,9,1,-1
2016010000161,2,2,2,2,16,4,3,0,0,1,0,0,9,1,-1
2016010000162,1,1,1,1,42,7,3,0,0,0,0,0,5,1,2
2016010000163,2,1,1,1,50,8,2,0,0,0,0,0,4,1,4
2016010000167,2,1,1,2,46,8,3,0,0,0,0,0,1,1,3
2016010000169,1,1,2,2,0,1,3,0,0,0,3,0,11,1,9
2016010000171,1,1,2,2,31,6,3,0,0,0,4,0,11,1,2
2016010000172,1,1,1,1,88,11,3,0,0,0,0,0,9,1,2
2016010000174,2,1,1,1,33,6,3,0,0,0,0,0,3,1,-1
2016010000175,1,1,1,1,26,6,3,0,0,0,0,0,3,-1,-1
2016010000175,1,2,3,1,14,3,3,5,1,0,0,2,0,1,10
2016010000176,1,1,3,2,46,8,3,8,9,0,0,2,0,1,-1
2016010000178,1,1,1,1,31,6,3,0,0,0,0,0,9,1,4
2016010000179,1,1,3,1,15,3,3,1,1,0,0,2,0,1,1
2016010000180,1,1,1,1,51,8,3,0,0,0,0,0,9,1,7
2016010000181,2,1,1,1,46,8,2,0,0,0,0,0,5,1,8
2016010000182,2,1,1,1,40,7,2,0,0,0,0,0,1,1,-1
2016010000183,1,1,3,1,62,9,3,9,5,0,0,2,0,1,8
2016010000185,2,1,1,1,23,5,3,0,0,0,0,0,1,1,1
2016010000186,2,1,1,1,43,7,3,0,0,0,0,0,1,1,3
2016010000189,1,1,1,1,46,8,3,0,0,0,0,0,3,1,4
2016010000189,2,2,1,1,27,6,3,0,0,0,0,0,1,1,6
2016010000191,2,1,1,1,28,6,3,0,0,0,0,0,3,1,-1
2016010000192,2,1,1,1,18,4,3,0,0,0,0,0,4,1,3
2016010000193,1,1,1,1,59,9,3,0,0,0,0,0,9,1,3
2016010000194,1,1,1,2,20,4,3,0,0,0,0,0,3,1,5
2016010000194,1,2,2,1,18,4,2,0,0,0,0,0,3,1,2
2016010000195,2,1,1,1,29,6,3,0,0,0,0,0,1,1,-1
2016010000196,1,1,3,2,14,3,3,6,9,0,0,2,0,1,2
2016010000197,1,1,3,1,18,4,3,5,1,0,0,2,0,-1,-1
2016010000198,1,1,1,1,25,5,3,0,0,0,0,0,19,1,3
2016010000199,1,1,1,1,68,10,3,0,0,0,0,0,19,1,9
2016010000200,1,1,1,2,84,11,3,0,0,0,0,0,9,1,7
2016010000200,1,2,2,2,59,9,3,0,0,1,0,0,9,1,7
2016010000200,2,3,1,2,58,9,3,0,0,0,0,0,9,1,2
2016010000202,1,1,3,2,35,6,3,6,9,0,0,2,0,1,-1
2016010000204,1,1,1,1,24,5,3,0,0,0,0,0,3,1,2
2016010000206,1,1,1,1,26,6,3,0,0,0,0,0,19,1,3
2016010000206,1,2,2,1,25,5,3,0,0,0,0,0,19,1,4
2016010000206,2,3,1,1,40,7,3,0,0,0,0,0,9,1,3
2016010000209,1,1,2,1,76,11,3,0,0,0,3,0,11,1,3
2016010000210,1,1,2,2,40,7,3,0,0,2,0,0,9,1,2
2016010000211,1,1,3,1,22,5,2,5,9,0,0,2,0,1,3
2016010000212,1,1,1,2,32,6,3,0,0,0,0,0,9,1,10
2016010000213,1,1,1,1,20,4,3,0,0,0,0,0,1,1,3
2016010000213,2,2,1,1,18,4,3,0,0,0,0,0,2,1,4
2016010000217,1,1,1,1,65,9,2,0,0,0,0,0,9,1,4
2016010000217,1,2,2,2,69,10,3,0,0,1,0,0,9,1,4
2016010000218,2,1,1,1,29,6,3,0,0,0,0,0,3,1,2
2016010000224,1,1,3,2,19,4,3,5,3,0,0,2,0,1,3
2016010000229,1,1,1,1,44,7,3,0,0,0,0,0,9,1,3
2016010000230,1,1,1,2,27,6,3,0,0,0,0,0,9,1,-1
2016010000231,2,1,1,1,36,7,3,0,0,0,0,0,4,1,2
2016010000232,2,1,1,1,65,9,2,0,0,0,0,0,1,1,4
2016010000233,2,1,1,1,20,4,2,0,0,0,0,0,3,1,2
2016010000234,1,1,1,2,26,6,3,0,0,0,0,0,9,1,1
2016010000236,1,1,3,1,23,5,3,2,3,0,0,2,0,1,3
2016010000237,1,1,3,1,13,3,3,5,9,0,0,2,0,1,6
2016010000238,2,1,1,2,25,5,3,0,0,0,0,0,1,1,5
2016010000240,1,1,1,1,42,7,1,0,0,0,0,0,5,1,-1
2016010000241,1,1,1,1,30,6,3,0,0,0,0,0,3,1,3
2016010000241,2,2,1,1,50,8,3,0,0,0,0,0,8,1,2
2016010000243,1,1,3,2,25,5,3,5,1,0,0,2,0,1,3
2016010000244,2,1,1,1,24,5,3,0,0,0,0,0,5,-1,-1
2016010000245,1,1,3,2,38,7,3,5,1,0,0,2,0,1,4
2016010000245,1,2,3,2,2,1,3,5,1,0,0,2,0,-1,-1
2016010000246,1,1,2,2,62,9,3,0,0,2,0,0,8,1,4
2016010000247,2,1,1,1,28,6,3,0,0,0,0,0,1,1,1
2016010000248,2,1,1,1,33,6,3,0,0,0,0,0,5,1,6
2016010000251,2,1,1,1,22,5,2,0,0,0,0,0,3,1,4
2016010000252,2,1,1,2,37,7,3,0,0,0,0,0,9,1,3
2016010000253,1,1,3,1,49,8,3,5,3,0,0,2,0,3,-1
2016010000254,2,1,1,2,53,8,3,0,0,0,0,0,9,1,3
2016010000255,2,1,1,1,26,6,3,0,0,0,0,0,4,1,4
2016010000256,1,1,1,1,41,7,2,0,0,0,0,0,3,1,9
2016010000257,1,1,2,2,84,11,3,0,0,0,4,0,11,1,9
2016010000258,1,1,1,1,38,7,2,0,0,0,0,0,5,1,2
2016010000258,2,2,1,1,27,6,3,0,0,0,0,0,4,1,2
2016010000259,2,1,1,1,39,7,3,0,0,0,0,0,3,1,8
2016010000262,1,1,1,1,25,5,3,0,0,0,0,0,9,1,4
2016010000263,1,1,3,2,89,11,3,6,9,0,0,2,0,1,9
2016010000264,3,1,1,2,31,6,3,0,0,0,0,0,9,1,4
2016010000265,2,1,1,1,84,11,3,0,0,0,0,0,1,1,1
2016010000266,2,1,1,1,24,5,3,0,0,0,0,0,4,1,3
2016010000267,2,1,1,2,32,6,3,0,0,0,0,0,9,1,8
2016010000269,2,1,1,2,71,10,3,0,0,0,0,0,9,1,2
2016010000270,1,1,3,1,38,7,3,5,3,0,0,2,0,-1,-1
2016010000271,2,1,1,2,22,5,3,0,0,0,0,0,1,1,8
2016010000272,1,1,1,1,55,8,3,0,0,0,0,0,2,1,1
2016010000272,2,2,1,1,53,8,3,0,0,0,0,0,90,1,3
2016010000273,1,1,1,2,61,9,3,0,0,0,0,0,9,1,8
2016010000273,2,2,1,2,30,6,3,0,0,0,0,0,9,1,2
2016010000274,2,1,1,2,44,7,2,0,0,0,0,0,2,1,2
2016010000275,1,1,1,1,25,5,3,0,0,0,0,0,4,1,-1
2016010000277,1,1,1,1,15,3,3,0,0,0,0,0,2,1,3
2016010000277,1,2,3,2,19,4,3,1,9,0,0,2,0,1,3
